mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-30.54005577609496,12.817207575009071,-32.034431776971765,12.11874026325469,-15.09176254272461,-15.829051971435547,-21.840545654296875,-22.861351013183594,-27.43588638305664,-28.783695220947266,-32.14311218261719,-33.718505859375
original,1,2048,-30.938064842873246,13.369255607906581,-32.494028335148684,12.564954536870301,-15.495475769042969,-16.2381591796875,-22.27167510986328,-23.312530517578125,-27.842205047607422,-29.23150634765625,-32.538352966308594,-34.18225860595703
original,2,2048,-30.19474607817956,12.952385372458815,-31.732005370774914,12.2336562854577,-14.793940544128418,-15.533515930175781,-21.493423461914062,-22.533321380615234,-27.081031799316406,-28.462785720825195,-31.795677185058594,-33.41826248168945
original,3,2048,-30.933031703765298,13.487048555535534,-32.426725861260635,12.695984501919403,-15.559389114379883,-16.28470230102539,-22.32063865661621,-23.331172943115234,-27.85883331298828,-29.199445724487305,-32.524810791015625,-34.10112762451172
original,4,2048,-31.165898436934913,13.65246520874242,-32.69688042120979,12.943562464493874,-15.672109603881836,-16.410972595214844,-22.495811462402344,-23.523395538330078,-28.07878303527832,-29.44158935546875,-32.768898010253906,-34.38597869873047
original,5,2048,-30.999854925618273,13.518648792288701,-32.52454829389571,12.71740910517197,-15.580713272094727,-16.31450843811035,-22.366962432861328,-23.398725509643555,-27.92562484741211,-29.293100357055664,-32.59552001953125,-34.204978942871094
original,6,2048,-30.670306525750853,13.205132653377726,-32.24681614894398,12.469388352250196,-15.204935073852539,-15.960749626159668,-21.96401596069336,-23.017658233642578,-27.56304931640625,-28.964189529418945,-32.27494812011719,-33.9408073425293
original,7,2048,-30.572761704674484,13.308104648803608,-32.119147230037925,12.509620827357695,-15.267038345336914,-15.99958610534668,-21.99073028564453,-23.02174186706543,-27.514202117919922,-28.893909454345703,-32.157840728759766,-33.792213439941406
original,8,2048,-30.660074884523418,12.916946293107822,-32.14504405967163,12.187616455338246,-15.339917182922363,-16.053760528564453,-22.071691513061523,-23.070079803466797,-27.60760498046875,-28.933486938476562,-32.24601745605469,-33.81432342529297
robust,0,2048,-28.05033669976492,13.802592746812392,-29.876617296607584,12.924557338445933,-13.935722351074219,-14.716568946838379,-20.285690307617188,-21.405715942382812,-25.307865142822266,-26.86614990234375,-29.498674392700195,-31.44375991821289
robust,1,2048,-28.41183373996828,14.341704140491508,-30.2123748579761,13.476800681049573,-14.368337631225586,-15.131185531616211,-20.729869842529297,-21.82632827758789,-25.70128059387207,-27.230512619018555,-29.849246978759766,-31.768205642700195
robust,2,2048,-27.736053412684846,13.841902424554622,-29.505858118438116,13.038718267953142,-13.68817138671875,-14.444833755493164,-20.00007438659668,-21.092674255371094,-25.00061798095703,-26.515453338623047,-29.178363800048828,-31.062599182128906
robust,3,2048,-28.44291665813689,14.471328842508614,-30.35448599959782,13.440381553723343,-14.414501190185547,-15.215685844421387,-20.762187957763672,-21.92833137512207,-25.724424362182617,-27.357162475585938,-29.879837036132812,-31.916973114013672
robust,4,2048,-28.648721296478833,14.65004866772503,-30.490111246836022,13.788149918419473,-14.539396286010742,-15.311018943786621,-20.94247817993164,-22.058324813842773,-25.930110931396484,-27.494251251220703,-30.091909408569336,-32.055213928222656
robust,5,2048,-28.542334713280795,14.46410606987866,-30.340367506700932,13.549081728560335,-14.447410583496094,-15.218908309936523,-20.836402893066406,-21.950727462768555,-25.825008392333984,-27.366992950439453,-29.984580993652344,-31.898277282714844
robust,6,2048,-28.232283954266858,14.142613659949635,-30.048674623368424,13.276194647328325,-14.070178031921387,-14.86425495147705,-20.44481658935547,-21.574748992919922,-25.47860336303711,-27.036157608032227,-29.685415267944336,-31.617549896240234
robust,7,2048,-28.112324863084538,14.25154029617338,-29.9510542321048,13.274795829649555,-14.122514724731445,-14.914015769958496,-20.456851959228516,-21.59322738647461,-25.411325454711914,-26.984468460083008,-29.54446029663086,-31.501728057861328
robust,8,2048,-28.25166062758126,13.915586236703051,-30.03658248154352,13.027798377364777,-14.223075866699219,-14.990610122680664,-20.562089920043945,-21.665813446044922,-25.536426544189453,-27.064054489135742,-29.688919067382812,-31.588891983032227
naive,0,2048,-13.028544526029872,4.593183865724663,-14.369095835926418,3.763462309196885,-7.84126091003418,-8.462182998657227,-10.138047218322754,-11.002803802490234,-11.893697738647461,-13.055219650268555,-13.570464134216309,-14.991865158081055
naive,1,2048,-13.1695918346908,4.729302840826773,-14.498691050664092,3.896071180780107,-8.026687622070312,-8.660338401794434,-10.305272102355957,-11.170781135559082,-12.043447494506836,-13.194576263427734,-13.706849098205566,-15.114595413208008
naive,2,2048,-12.900740135387242,4.5685570663886015,-14.230905272110714,3.785365570302035,-7.647226810455322,-8.286178588867188,-9.966492652893066,-10.842170715332031,-11.745277404785156,-12.905936241149902,-13.450342178344727,-14.857872009277344
naive,3,2048,-13.11834988547962,4.8018469576592695,-14.520656516010057,3.857216403021645,-8.048306465148926,-8.710716247558594,-10.29969596862793,-11.21107292175293,-12.011784553527832,-13.229095458984375,-13.647482872009277,-15.133073806762695
naive,4,2048,-13.21406211201829,4.713610250845502,-14.523401978657784,3.9140729330415778,-8.063291549682617,-8.686992645263672,-10.352357864379883,-11.205557823181152,-12.091167449951172,-13.228940963745117,-13.751436233520508,-15.138031959533691
naive,5,2048,-13.14265747281388,4.76722733102229,-14.492287657012639,3.893810240679995,-8.072824478149414,-8.702142715454102,-10.334115982055664,-11.20551586151123,-12.042601585388184,-13.210287094116211,-13.67080020904541,-15.101635932922363
