mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-30.786248219728257,13.067926795749313,-32.30141296625561,12.180612719525836,-15.3016357421875,-16.00395965576172,-22.217777252197266,-23.257692337036133,-27.926727294921875,-29.244564056396484,-32.36934280395508,-33.971885681152344
original,1,2048,-30.58857896532936,13.310946100490451,-32.10125662989012,12.37834590362275,-15.065298080444336,-15.795092582702637,-21.990171432495117,-23.03769302368164,-27.718673706054688,-29.031131744384766,-32.17631530761719,-33.77418899536133
original,2,2048,-30.5280354570079,13.213819776731054,-32.00697684691659,12.358788517861642,-15.098569869995117,-15.797659873962402,-21.99957847595215,-23.02412986755371,-27.69769287109375,-28.984920501708984,-32.10381317138672,-33.66663360595703
original,3,2048,-30.681716194623366,13.302463997510397,-32.24589130512104,12.407620312987778,-15.178125381469727,-15.904327392578125,-22.096210479736328,-23.157062530517578,-27.814706802368164,-29.164398193359375,-32.267372131347656,-33.92306137084961
original,4,2048,-31.11142346081051,13.41603338613098,-32.542253841046566,12.579348127534908,-15.567831039428711,-16.25113296508789,-22.54848861694336,-23.543527603149414,-28.26754379272461,-29.51607894897461,-32.696739196777344,-34.20790100097656
original,5,2048,-30.316133473808076,13.244979292033316,-31.79428595342106,12.39812867018228,-14.88857650756836,-15.60152816772461,-21.74530792236328,-22.781845092773438,-27.451828002929688,-28.737842559814453,-31.896289825439453,-33.45673370361328
original,6,2048,-30.851873511425218,13.565073257262352,-32.41032255045156,12.637213533773416,-15.378118515014648,-16.124103546142578,-22.29502296447754,-23.36712074279785,-27.99428939819336,-29.351099014282227,-32.43353271484375,-34.08024215698242
original,7,2048,-30.63791320055443,13.074421723878793,-32.08951446533975,12.23940183665586,-15.079681396484375,-15.751653671264648,-22.004302978515625,-22.99294662475586,-27.74748420715332,-28.993532180786133,-32.230987548828125,-33.76777267456055
original,8,2048,-30.786701833425106,12.850130657433827,-32.19409830390159,12.057596133737407,-15.238587379455566,-15.915833473205566,-22.176654815673828,-23.159034729003906,-27.90899658203125,-29.140474319458008,-32.377044677734375,-33.86274337768555
robust,0,2048,-28.33330009524816,13.810894610882137,-29.714403847356426,12.894840720433823,-14.66830062866211,-15.24349594116211,-20.993013381958008,-21.84001922607422,-25.76028823852539,-26.910869598388672,-29.720258712768555,-31.193744659423828
