mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-30.793328256192034,13.068095358067021,-32.25784020364081,12.232002321694887,-15.227258682250977,-15.918580055236816,-22.180204391479492,-23.18518829345703,-27.922779083251953,-29.192052841186523,-32.38448715209961,-33.93299865722656
original,1,2048,-31.16459905325464,13.582292262712256,-32.64747462344167,12.758824625889226,-15.604650497436523,-16.311378479003906,-22.581022262573242,-23.610721588134766,-28.2971134185791,-29.587923049926758,-32.75348663330078,-34.31996536254883
original,2,2048,-30.481646840674692,13.116855404614642,-31.886004135955588,12.361445876433276,-14.99887466430664,-15.64920425415039,-21.902103424072266,-22.86542510986328,-27.620899200439453,-28.835834503173828,-32.06535720825195,-33.551151275634766
original,3,2048,-31.148277461241015,13.672588096037053,-32.66435438856715,12.748619664667808,-15.65671157836914,-16.3511962890625,-22.605262756347656,-23.635108947753906,-28.29220199584961,-29.605260848999023,-32.730079650878906,-34.33502960205078
original,4,2048,-31.470756203185736,13.796130081166453,-32.80158908819939,13.070305971497831,-15.818438529968262,-16.460693359375,-22.84476661682129,-23.77878761291504,-28.58993148803711,-29.748870849609375,-33.06835174560547,-34.47314453125
original,5,2048,-31.233416618691628,13.745733514002154,-32.729708410913005,12.88271375662196,-15.692669868469238,-16.398014068603516,-22.67519187927246,-23.71303939819336,-28.38343620300293,-29.68646240234375,-32.81864929199219,-34.399803161621094
original,6,2048,-30.994599338692566,13.349245234402717,-32.42391076815511,12.612936462767298,-15.374797821044922,-16.063838958740234,-22.352670669555664,-23.345714569091797,-28.10995101928711,-29.350074768066406,-32.59144592285156,-34.10108947753906
original,7,2048,-30.848696972123072,13.523368245039524,-32.29360449733667,12.643553832565265,-15.381631851196289,-16.06072425842285,-22.303245544433594,-23.297256469726562,-27.990264892578125,-29.246143341064453,-32.42934036254883,-33.956939697265625
original,8,2048,-30.966162949265346,13.12068642365808,-32.389699889483744,12.318987778085896,-15.476438522338867,-16.16354751586914,-22.42047119140625,-23.420028686523438,-28.120403289794922,-29.37419891357422,-32.54740905761719,-34.049190521240234
robust,0,2048,-25.684369527655416,15.349433405983467,-27.386956390116396,14.202812810915372,-13.485087394714355,-14.112119674682617,-18.905982971191406,-19.81311798095703,-23.199390411376953,-24.51776123046875,-26.94687843322754,-28.782127380371094
robust,1,2048,-26.210938264373272,15.829342034923428,-27.878532877034875,14.728724327285246,-13.96296215057373,-14.58444595336914,-19.431623458862305,-20.331642150878906,-23.723854064941406,-25.01594352722168,-27.476490020751953,-29.272859573364258
robust,2,2048,-25.3386053907514,15.36034711232574,-26.997852430524063,14.310997510532301,-13.168561935424805,-13.775733947753906,-18.538660049438477,-19.43503189086914,-22.83627700805664,-24.122377395629883,-26.6016845703125,-28.38964080810547
robust,3,2048,-26.16190060223407,15.95154216246987,-27.94473669340223,14.726600917653263,-14.012393951416016,-14.662908554077148,-19.457313537597656,-20.413122177124023,-23.703901290893555,-25.093246459960938,-27.41555404663086,-29.3367919921875
robust,4,2048,-26.557975828555755,16.110520666860495,-28.192175909913566,15.05555421604416,-14.21688461303711,-14.820841789245605,-19.747440338134766,-20.623767852783203,-24.069860458374023,-25.330753326416016,-27.830902099609375,-29.592243194580078
robust,5,2048,-26.32525327133608,15.974864706493799,-28.02763139221497,14.845474633763809,-14.11363410949707,-14.734354019165039,-19.591482162475586,-20.5064697265625,-23.86343765258789,-25.186487197875977,-27.58449935913086,-29.41913604736328
robust,6,2048,-25.85651434333895,15.624148589648351,-27.601193328606996,14.537579486234957,-13.619607925415039,-14.266979217529297,-19.05957794189453,-20.000320434570312,-23.364521026611328,-24.720956802368164,-27.12274169921875,-29.002094268798828
robust,7,2048,-25.934799347875924,15.72718175535885,-27.628624692566518,14.570060537988578,-13.759943008422852,-14.391997337341309,-19.197072982788086,-20.111679077148438,-23.468042373657227,-24.78213882446289,-27.19240951538086,-29.016862869262695
robust,8,2048,-26.054806777370686,15.41809536686299,-27.72327495923455,14.334272938900641,-13.871234893798828,-14.493902206420898,-19.31672477722168,-20.216188430786133,-23.58892822265625,-24.883861541748047,-27.312896728515625,-29.110092163085938
naive,0,2048,-12.339549522637844,5.526623914652222,-13.926628458902814,4.218322816397801,-7.838170051574707,-8.3634033203125,-10.148512840270996,-10.928760528564453,-11.7097806930542,-12.896230697631836,-12.770265579223633,-14.49083423614502
naive,1,2048,-12.55205708942949,5.599061488100136,-14.05353303952179,4.354441841416454,-8.065347671508789,-8.55688762664795,-10.364112854003906,-11.098031997680664,-11.918367385864258,-13.03425407409668,-12.98196029663086,-14.610675811767578
naive,2,2048,-12.360701820967098,5.371152026978694,-13.787016891200073,4.220142306040317,-7.732807636260986,-8.208141326904297,-10.091299057006836,-10.783217430114746,-11.700339317321777,-12.7491455078125,-12.805270195007324,-14.35293197631836
naive,3,2048,-12.526011761269364,5.6071510040587835,-14.076894406789506,4.336141093267499,-8.070755004882812,-8.592537879943848,-10.362923622131348,-11.128168106079102,-11.905131340026855,-13.063867568969727,-12.951848983764648,-14.632547378540039
naive,4,2048,-12.623629150156557,5.531889940493734,-14.099291616894334,4.339806682335635,-8.098502159118652,-8.59071159362793,-10.422737121582031,-11.144768714904785,-11.990646362304688,-13.084758758544922,-13.056511878967285,-14.65679931640625
naive,5,2048,-12.546201965793351,5.638661967898925,-14.07943716216905,4.326171038712632,-8.105342864990234,-8.616004943847656,-10.39950942993164,-11.156638145446777,-11.934450149536133,-13.077362060546875,-12.969690322875977,-14.631690979003906
naive,6,2048,-12.378484517603646,5.511034357189819,-13.922911416856186,4.231251964494808,-7.860196590423584,-8.375327110290527,-10.17501449584961,-10.93359661102295,-11.742996215820312,-12.894193649291992,-12.811264038085938,-14.485594749450684
naive,7,2048,-12.599410276426624,5.482927875376111,-14.030169472901616,4.287803871877195,-8.032136917114258,-8.512442588806152,-10.372664451599121,-11.070362091064453,-11.9552001953125,-13.014781951904297,-13.03695297241211,-14.588576316833496
naive,8,2048,-12.602269119921674,5.533008745421403,-14.06664918547758,4.313135334570677,-8.128412246704102,-8.6072416305542,-10.432038307189941,-11.143646240234375,-11.98076057434082,-13.064534187316895,-13.029657363891602,-14.618680953979492
