mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-30.789841574628916,13.036152679588719,-32.37794375335871,12.320143036537996,-15.255187034606934,-16.001794815063477,-22.03207015991211,-23.081005096435547,-27.657306671142578,-29.06640625,-32.403076171875,-34.08292007446289
original,1,2048,-30.503876915218278,13.364578677068494,-32.02983389956921,12.535061171573213,-15.181022644042969,-15.918733596801758,-21.898330688476562,-22.919071197509766,-27.437397003173828,-28.796476364135742,-32.09181213378906,-33.70367431640625
original,2,2048,-29.68104105206712,12.560246377544638,-31.319503028805777,11.79078559439256,-14.321638107299805,-15.092878341674805,-20.95941925048828,-22.048084259033203,-26.554330825805664,-28.013023376464844,-31.281496047973633,-33.013885498046875
original,3,2048,-30.576495326892836,13.333462435495143,-32.155255619664786,12.571431529070544,-15.328792572021484,-16.073932647705078,-22.031164169311523,-23.079063415527344,-27.536705017089844,-28.940567016601562,-32.15489959716797,-33.8242073059082
original,4,2048,-30.206258223089932,12.843272971517024,-31.716206020382835,12.052880290884618,-14.696184158325195,-15.414159774780273,-21.40696144104004,-22.417226791381836,-27.04729461669922,-28.39545440673828,-31.82204246520996,-33.41748809814453
original,5,2048,-30.662148499511385,13.047589120296806,-32.2265810140359,12.246207824798795,-15.147480010986328,-15.89596176147461,-21.908084869384766,-22.955738067626953,-27.533306121826172,-28.930328369140625,-32.27376937866211,-33.92644500732422
original,6,2048,-30.449409133940936,12.763168449928502,-31.997233182840045,11.978909004604047,-14.88298225402832,-15.630200386047363,-21.626874923706055,-22.67209243774414,-27.284698486328125,-28.67304229736328,-32.070213317871094,-33.704078674316406
original,7,2048,-30.726271589300996,13.506538677933092,-32.275565853671104,12.716958026537514,-15.330360412597656,-16.076210021972656,-22.073476791381836,-23.11632537841797,-27.63878631591797,-29.026565551757812,-32.32251739501953,-33.95836639404297
original,8,2048,-30.512778200060346,12.882018355505709,-32.06219517698264,12.147705653035992,-15.097713470458984,-15.835144996643066,-21.826799392700195,-22.85968780517578,-27.415077209472656,-28.793338775634766,-32.11270523071289,-33.750335693359375
robust,0,2048,-26.375946215919065,15.51485009200222,-28.32161040098581,14.428157599318185,-14.0953369140625,-14.880691528320312,-19.739269256591797,-20.86989974975586,-24.01968765258789,-25.589012145996094,-27.627330780029297,-29.71133041381836
robust,1,2048,-26.21153305670814,15.663851978631339,-28.039593166943817,14.562723335213917,-14.038437843322754,-14.77699089050293,-19.662832260131836,-20.712987899780273,-23.898975372314453,-25.35936164855957,-27.448848724365234,-29.408382415771484
robust,2,2048,-25.17708433315765,14.894684606793536,-27.136896697177505,13.813153685295207,-13.09019660949707,-13.884502410888672,-18.587207794189453,-19.725215911865234,-22.822975158691406,-24.40090560913086,-26.414194107055664,-28.513370513916016
