mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-24.67946160565143,15.202222005969197,-26.956392361711004,13.944343213717966,-11.90072250366211,-12.789896965026855,-17.026885986328125,-18.293697357177734,-21.41746711730957,-23.219411849975586,-26.073184967041016,-28.519107818603516
original,1,2048,-24.54832605051806,15.295611487029657,-26.74437982398085,14.020693358100061,-11.861544609069824,-12.709272384643555,-16.969085693359375,-18.183513641357422,-21.322406768798828,-23.05861473083496,-25.930206298828125,-28.29036521911621
original,2,2048,-23.554246333367516,14.504812744899196,-25.90638313532472,13.274471470749406,-10.897378921508789,-11.810314178466797,-15.857568740844727,-17.164871215820312,-20.231801986694336,-22.093454360961914,-24.946950912475586,-27.47406005859375
original,3,2048,-24.705755995766594,15.404724102385737,-26.91962837967312,14.076927677132812,-12.023569107055664,-12.894136428833008,-17.15198516845703,-18.37897491455078,-21.498884201049805,-23.259292602539062,-26.084747314453125,-28.46236228942871
original,4,2048,-24.054954124988942,14.799096335764835,-26.320460720121627,13.503767462038724,-11.269015312194824,-12.139069557189941,-16.30960464477539,-17.56427001953125,-20.718481063842773,-22.5184326171875,-25.458940505981445,-27.89337921142578
original,5,2048,-24.53358207248875,15.193197801252731,-26.80639851152664,13.823506613233103,-11.732605934143066,-12.598984718322754,-16.84807777404785,-18.09415054321289,-21.249370574951172,-23.04578399658203,-25.93185806274414,-28.375825881958008
original,6,2048,-24.283931817648952,14.860367940639561,-26.560351710135,13.543195958215893,-11.450039863586426,-12.330331802368164,-16.52634620666504,-17.782827377319336,-20.948749542236328,-22.753259658813477,-25.691383361816406,-28.137683868408203
original,7,2048,-24.806716060086,15.56275316281777,-27.00688647309362,14.273193850356702,-12.040876388549805,-12.911354064941406,-17.18406867980957,-18.419832229614258,-21.560428619384766,-23.31869125366211,-26.196996688842773,-28.558109283447266
original,8,2048,-24.371093994480724,15.012943578298232,-26.6740426628814,13.647382648244141,-11.728614807128906,-12.606928825378418,-16.80646324157715,-18.06974220275879,-21.151185989379883,-22.973413467407227,-25.74915313720703,-28.225337982177734
robust,0,2048,-29.705892476314332,13.935772637596846,-31.045416183772883,13.291584977995171,-15.919572830200195,-16.590023040771484,-22.15731430053711,-23.02157211303711,-27.018646240234375,-28.137222290039062,-31.118959426879883,-32.53879165649414
robust,1,2048,-29.477034797831585,14.083716153322227,-30.76545467784963,13.432949570709141,-15.862034797668457,-16.51447296142578,-22.04039764404297,-22.883047103881836,-26.83614730834961,-27.919187545776367,-30.870712280273438,-32.23484420776367
robust,2,2048,-28.623183907693964,13.361254842092524,-29.989253759817075,12.703697689598474,-14.905913352966309,-15.586339950561523,-21.042783737182617,-21.928136825561523,-25.919864654541016,-27.06566619873047,-30.035005569458008,-31.482643127441406
robust,3,2048,-29.649820316966725,14.187254761586837,-30.926468788418994,13.499278601716917,-16.051498413085938,-16.685192108154297,-22.235708236694336,-23.059036254882812,-27.0169734954834,-28.087148666381836,-31.040719985961914,-32.39400100708008
robust,4,2048,-29.134396004662264,13.66170749520566,-30.421223301712594,13.000819001625846,-15.329113960266113,-15.964010238647461,-21.51247787475586,-22.34564781188965,-26.414772033691406,-27.49399757385254,-30.554798126220703,-31.91887092590332
robust,5,2048,-29.54179790582639,13.956669404234644,-30.930322021795472,13.200436698669613,-15.757049560546875,-16.460224151611328,-21.973731994628906,-22.886749267578125,-26.847919464111328,-28.0239200592041,-30.956310272216797,-32.425621032714844
robust,6,2048,-29.327500984293145,13.570560500944435,-30.666298543244558,12.861305121252883,-15.466629028320312,-16.15073585510254,-21.681468963623047,-22.561485290527344,-26.599666595458984,-27.72818946838379,-30.753074645996094,-32.16973876953125
