mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-30.549511707341843,12.802521101685773,-32.051068387266156,12.091073539456007,-15.175251007080078,-15.898773193359375,-21.891742706298828,-22.903850555419922,-27.456085205078125,-28.80232810974121,-32.14512634277344,-33.730377197265625
original,1,2048,-30.304221658652203,13.078404389195484,-31.928615576350424,12.31178152063428,-14.885339736938477,-15.672188758850098,-21.602489471435547,-22.697175979614258,-27.193817138671875,-28.644954681396484,-31.906044006347656,-33.621055603027344
original,2,2048,-30.275299642950266,12.96723135083728,-31.827382172008814,12.264338562177684,-14.927377700805664,-15.668127059936523,-21.623611450195312,-22.664016723632812,-27.18499755859375,-28.570056915283203,-31.868824005126953,-33.5085563659668
original,3,2048,-30.38548667572577,13.015675709520385,-32.02632458460539,12.243538439549816,-15.005613327026367,-15.781375885009766,-21.71002960205078,-22.80173110961914,-27.280662536621094,-28.735271453857422,-31.983142852783203,-33.71812438964844
original,4,2048,-30.744038822340006,13.188307760092433,-32.31876137073632,12.427641732486444,-15.430147171020508,-16.172285079956055,-22.179443359375,-23.219894409179688,-27.70257568359375,-29.099029541015625,-32.32756423950195,-33.99317932128906
original,5,2048,-30.069005709647538,13.024098100054998,-31.582386845421567,12.288918515708179,-14.716798782348633,-15.44662094116211,-21.37495994567871,-22.392105102539062,-26.951404571533203,-28.29941177368164,-31.666879653930664,-33.2652702331543
original,6,2048,-30.605713119168282,13.353892030537938,-32.13193020511731,12.552501874834556,-15.272697448730469,-16.00586700439453,-21.99200439453125,-23.019763946533203,-27.533384323120117,-28.901464462280273,-32.195068359375,-33.806556701660156
original,7,2048,-30.36275335327955,12.790239139405795,-31.976978595803345,12.01398631588406,-14.885915756225586,-15.656219482421875,-21.610027313232422,-22.69881820678711,-27.22346305847168,-28.670513153076172,-31.972686767578125,-33.67729568481445
original,8,2048,-30.496143206304986,12.659213418947735,-32.055761476041695,11.924551769079441,-15.093437194824219,-15.81968879699707,-21.824901580810547,-22.837608337402344,-27.404476165771484,-28.77220344543457,-32.094120025634766,-33.746219635009766
robust,0,2048,-29.796745088257012,12.993974329132353,-31.310492607841297,12.309304832387088,-15.320793151855469,-16.01177978515625,-21.71465301513672,-22.699796676635742,-26.889789581298828,-28.20418930053711,-31.29468536376953,-32.89965057373047
robust,1,2048,-29.561157938086033,13.3352190356503,-31.138526502330205,12.613502201841975,-15.007720947265625,-15.736564636230469,-21.397296905517578,-22.429431915283203,-26.612010955810547,-27.98312759399414,-31.07094955444336,-32.742435455322266
robust,2,2048,-29.48816201659865,13.23273385067744,-31.034925890126033,12.562011842434554,-15.041109085083008,-15.752676010131836,-21.411087036132812,-22.41756248474121,-26.575746536254883,-27.921283721923828,-30.98442840576172,-32.623939514160156
robust,3,2048,-29.676924248805516,13.21492127038028,-31.218579749677154,12.576317549288719,-15.15458869934082,-15.858461380004883,-21.545854568481445,-22.543312072753906,-26.7443790435791,-28.078838348388672,-31.18198013305664,-32.817115783691406
robust,4,2048,-30.010638971369918,13.433732969067224,-31.52324550937792,12.727251314186882,-15.553421020507812,-16.250944137573242,-21.987075805664062,-22.98088836669922,-27.13736343383789,-28.457853317260742,-31.502052307128906,-33.10442352294922
robust,5,2048,-29.293518606186627,13.217505056057208,-30.820676767783063,12.540508106033684,-14.834619522094727,-15.5397310256958,-21.15656280517578,-22.156566619873047,-26.343582153320312,-27.678749084472656,-30.79621124267578,-32.41402816772461
robust,6,2048,-29.861760814440274,13.561735591354417,-31.43750410795874,12.803513576932993,-15.40896224975586,-16.124366760253906,-21.80108642578125,-22.818017959594727,-26.964370727539062,-28.328861236572266,-31.356515884399414,-33.028167724609375
