mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-24.48863798831917,14.908969072501066,-26.660998805818963,13.634684345359274,-11.696001052856445,-12.566190719604492,-16.82278060913086,-18.04738998413086,-21.222991943359375,-22.955703735351562,-25.884174346923828,-28.214744567871094
original,1,2048,-24.939072840510562,15.498594074852958,-27.143319217760833,14.200051071242113,-12.170890808105469,-13.017024040222168,-17.33089828491211,-18.543624877929688,-21.70171356201172,-23.44376564025879,-26.328113555908203,-28.697763442993164
original,2,2048,-24.175745889761217,14.907325626086717,-26.372346407943404,13.72745508559858,-11.440808296203613,-12.302299499511719,-16.498512268066406,-17.72800064086914,-20.876937866210938,-22.627399444580078,-25.570510864257812,-27.92877769470215
original,3,2048,-25.000497583382458,15.56280014801726,-27.161879262036383,14.201461405305402,-12.228614807128906,-13.068901062011719,-17.398149490356445,-18.60065460205078,-21.769716262817383,-23.48444366455078,-26.389028549194336,-28.710800170898438
original,4,2048,-25.26986993514965,15.793340366073352,-27.471574181260074,14.545873020630571,-12.367111206054688,-13.232561111450195,-17.582462310791016,-18.82611846923828,-22.002914428710938,-23.761749267578125,-26.673229217529297,-29.03594398498535
original,5,2048,-25.115615448699188,15.626970855364375,-27.27974274373846,14.334534893013897,-12.32532024383545,-13.16423225402832,-17.523677825927734,-18.737342834472656,-21.900901794433594,-23.62345314025879,-26.503671646118164,-28.82763671875
original,6,2048,-24.569292663679516,15.314366649450495,-26.812436875747792,14.065565306726139,-11.806557655334473,-12.678467750549316,-16.920448303222656,-18.17366600036621,-21.30129051208496,-23.08999252319336,-25.962209701538086,-28.370975494384766
original,7,2048,-24.748386436136663,15.323171102615834,-26.935900256218154,14.005922992201658,-11.977426528930664,-12.844833374023438,-17.120254516601562,-18.352832794189453,-21.500324249267578,-23.238014221191406,-26.13939666748047,-28.487194061279297
original,8,2048,-24.83362190155385,14.969451800850909,-26.966705026177806,13.72753224327431,-12.091947555541992,-12.950145721435547,-17.25071907043457,-18.460996627807617,-21.620943069458008,-23.331523895263672,-26.21816635131836,-28.50537872314453
robust,0,2048,-29.6046696327543,13.42906980982284,-30.939592057344996,12.738266758161238,-14.764562606811523,-15.430463790893555,-21.38692283630371,-22.285253524780273,-26.79125213623047,-27.956310272216797,-31.126510620117188,-32.536460876464844
robust,1,2048,-30.00695862280022,13.914389236956998,-31.30620572057851,13.23592918612687,-15.204568862915039,-15.840506553649902,-21.849071502685547,-22.715286254882812,-27.215463638305664,-28.341712951660156,-31.52176856994629,-32.89568328857422
robust,2,2048,-29.28439319662575,13.496229902851868,-30.53755441069297,12.880996656630197,-14.509923934936523,-15.137340545654297,-21.091678619384766,-21.940494537353516,-26.476181030273438,-27.569421768188477,-30.80059242248535,-32.123756408691406
robust,3,2048,-30.008278386183157,14.025033326819996,-31.394360296087324,13.220066427310078,-15.256770133972168,-15.92008113861084,-21.88743019104004,-22.797748565673828,-27.228775024414062,-28.43320083618164,-31.5172119140625,-32.98448181152344
robust,4,2048,-30.23614783704361,14.236085686352142,-31.54711579001014,13.551431782392932,-15.401775360107422,-16.04412078857422,-22.079809188842773,-22.951692581176758,-27.447216033935547,-28.58334732055664,-31.75259780883789,-33.139007568359375
robust,5,2048,-30.08290484123554,14.016774692052786,-31.40424668840351,13.295575049059078,-15.239252090454102,-15.899612426757812,-21.903629302978516,-22.803504943847656,-27.286678314208984,-28.449844360351562,-31.60167694091797,-32.99599838256836
robust,6,2048,-29.754867555410602,13.773198139692303,-31.100608792870844,13.084155638309234,-14.888764381408691,-15.568275451660156,-21.524635314941406,-22.435710906982422,-26.931880950927734,-28.10955238342285,-31.27953338623047,-32.699920654296875
robust,7,2048,-29.763833746150702,13.781208446241822,-31.02308269483756,13.108956039729271,-15.000629425048828,-15.632169723510742,-21.619062423706055,-22.46165657043457,-26.975078582763672,-28.06940460205078,-31.275407791137695,-32.60578918457031
